,artist,track,energy,valence
158,Bongzilla,Witch Weed - Live,900.0,190.0
159,The Gone Jackals,Not Buried Deep Enough,890.0,220.0
160,Laurindo Almeida,Retratos-Ernesto Nazareth - Instrumental,100.0,400.0
161,Boogie Pimps,Get Back Down - Original,470.0,320.0
162,Brian Keane,Battle Of The Rosebud / Cries,70.0,40.0
163,Aberdeen,Beyond the Light,840.0,660.0
164,The Killers,Spaceman,900.0,800.0
165,20/20,It Goes On,600.0,380.0
166,Orbital,Illuminate,840.0,530.0
167,Bone Thugs-N-Harmony,Never Forget Me,490.0,40.0
168,Moonsorrow,Ukkosenjumalan poika,980.0,120.0
169,Rage Against The Machine,Kick out the Jams,940.0,500.0
170,Jazz Gillum,Me And My Buddy,300.0,830.0
171,Rise Against,Amber Changing,970.0,520.0
172,Ultraviolence,Murder Academy,940.0,30.0
173,Korn,Hey Daddy,800.0,490.0
174,Agnes,I Need You Now,660.0,290.0
175,James Horner,Atmosphere Station,10.0,30.0
176,Tantric,Walk Away,970.0,870.0
177,Mastodon,Shadows That Move,970.0,560.0
178,Xcultures,Smile,300.0,420.0
179,The Irish Tenors,Mountains Of Mourne,140.0,260.0
180,U2,Kite - Live From Sydney / 2006,590.0,180.0
181,Korn,Ever Be,900.0,320.0
182,Percy Faith & His Orchestra,Yesterdays,320.0,240.0
183,Prozak,Go To Hell,720.0,260.0
184,Yvette Horner,La plus bath des javas,490.0,960.0
185,Delta 9,Infidel,910.0,300.0
186,Placebo,English Summer Rain,910.0,520.0
187,Gertrudis,Intro,450.0,550.0
188,Warrior King,Empress So Divine,630.0,730.0
189,Soda Stereo,Terapia De Amor Intensiva - Remasterizado 2007,670.0,640.0
190,Lore,Haunting,710.0,350.0
191,Soul Asylum,Lies Of Hate,870.0,330.0
192,Various Artists,Musical Episode - Edit,680.0,810.0
193,Jimmy Wakely,Beautiful Brown Eyes,180.0,430.0
194,Lady May,The Boss,840.0,340.0
195,Nightwish,Escapist,930.0,350.0
196,!!!,Myth Takes,770.0,900.0
197,The Secret Life of Teenage Girls,Carpe PM,840.0,120.0
198,Sandi Thom,Wounded Hearts,670.0,580.0
199,The Field Mice,When Morning Comes To Town,420.0,470.0
200,Catherine Howe,"Freedom Enough - From ""Silent Mother Nature""",690.0,800.0
201,Malkit Singh,Hai Shava,840.0,960.0
202,Rodney-O & Joe Cooley,Nutty Block,700.0,620.0
203,Dean Martin,Until You Love Someone,150.0,160.0
204,STRATA,Part One From Triomusic,60.0,90.0
205,Igor Stravinsky,The Owl and the Pussy-Cat,40.0,450.0
206,Gene Clark,Set You Free This Time,420.0,800.0
207,The Shirelles,Will You Love Me Tomorrow,380.0,460.0
208,JDS,Nine Ways - Original Mix,900.0,800.0
209,Jan Howard,Bad Seed,490.0,880.0
210,Abraham Laboriel,Exchange,660.0,970.0
211,Sticky Fingaz,Oh My God,820.0,440.0
212,Original Soundtrack,Hoochie Coochie Man,690.0,660.0
213,Angela Dimitriou,Ftei O Erotas,770.0,770.0
214,Danny Wilson,The Second Summer Of Love,670.0,910.0
215,The Black Velvet Band,Dancing to a Standstill,760.0,700.0
216,Lisa Lynne,Isla del Luna,320.0,210.0
217,Shawn Colvin,Another Long One - Acoustic Edition,370.0,620.0
218,Casual,Oaktown - remix,530.0,650.0
219,Backstreet Boys,Larger Than Life,970.0,750.0
220,Tiny Tim,I Hold Your Hand in Mine - Live at Royal Albert Hall,220.0,640.0
221,Christos Dantis,Den Pai Alo,640.0,680.0
222,David Martin,It Won't Be Christmas,430.0,560.0
223,John Davis,Knocked Out Of The Park,20.0,180.0
224,Trafik,Salt In NYC,640.0,610.0
225,Glad,Blessed Assurance,220.0,360.0
226,Steel Rain,Loaded Like A Gun,730.0,490.0
227,Los Manolos,Rumba de Barcelona,980.0,840.0
228,Bombay Rockers,Wild Rose (Back 2 Basics Mix),800.0,960.0
229,Pucho & His Latin Soul Brothers,Got My Mojo Workin,480.0,850.0
230,Soul Mekanik,Get Your Head Stuck On Your Neck - Mekapella,350.0,380.0
231,Various Artists,Jenny Take A Ride,950.0,850.0
232,Luna Orbit Project,Midnight Star - Radio Edit,950.0,800.0
233,Danilo Perez,Native Soul,370.0,390.0
234,Line Renaud,Der kleine dompfaff - Remasterisé,330.0,320.0
235,King Curtis,"A Whiter Shade of Pale - Live at Fillmore West, 3/7/1971",240.0,220.0
236,Sophie B. Hawkins,The Ballad Of Sleeping Beauty,760.0,440.0
237,Marc Shaiman,City Slickers,180.0,290.0
238,E-40,Mustard & Mayonnaise - Intro,260.0,720.0
239,Gwen Stefani,Harajuku Girls,820.0,840.0
240,Steve Morse,Prognosis,660.0,420.0
241,Bitter End,Living Hell,870.0,350.0
242,Original Broadway Cast of Gypsy,Gypsy: Small World,170.0,260.0
243,Story Of The Year,Swallow the Knife (Segue) - Live,440.0,40.0
244,Various Artists,Mayday,760.0,620.0
245,Lisa Lynne,Lake Of Dreams,260.0,70.0
246,Neil Sedaka,Because of You,330.0,300.0
247,A Static Lullaby,Rattlesnake!,990.0,120.0
248,Oasis,Morning Glory - Remastered,980.0,80.0
249,Stew & The Negro Problem,Tomorrow Gone,290.0,510.0
250,Jauida,I Don't Want To Be Alone Tonight,530.0,310.0
251,Eddy Arnold,"Just a Little Lovin' (Will Go a Long, Long Way)",270.0,810.0
252,All Time Low,Shameless,940.0,590.0
253,Brian Dullaghan,And I Love You So,160.0,140.0
254,Regina Belle,Quiet Time,730.0,630.0
255,Debbie Davies,Little Sister,650.0,900.0
256,Latino Velvet Presents Jay Tee & Baby Bash,All Over Me,720.0,720.0
257,The Stolen Minks,I Hate You,890.0,680.0
258,Extasick,Misanthrope,920.0,150.0
259,Avril,The Date - Remix by Ana Rago,240.0,260.0
260,Various Artists,We Wish You a Merry Christmas - Dance Version,950.0,470.0
261,Nelson Ned,A Mi No Me Importa,350.0,370.0
262,State of Chaos,Chaos Intro,400.0,270.0
263,Dropkick Murphys,Bloody Pig Pile,940.0,210.0
264,Taint,Hex Breaker,850.0,310.0
265,Leonard Kwan,Hawaiian Chimes,310.0,550.0
266,True Believers,Turn It Around,930.0,330.0
267,Various Artists,Tumba Tumba - Versión Remasterizada,940.0,660.0
268,Zuzu Bollin,Why Don't You Eat Where You Slept Last Night?,390.0,830.0
269,Bullet For My Valentine,Suffocating Under Words Of Sorrow (What Can I Do),980.0,550.0
270,Various Artists,Deep Night/Softly As In A Morning Sunrise - Medley,430.0,640.0
271,Marcus Miller,Let Me Show You (I Just Want to Make You Smile),470.0,770.0
272,The Beatnuts,Monster For Music,720.0,910.0
273,Mons Leidvin Takle,Dansende Foran Speilet,100.0,490.0
274,Public Image Ltd.,Ease,690.0,400.0
275,Rise Against,Everchanging - Acoustic,380.0,230.0
276,Helen Love,So Hot,880.0,670.0
277,Pursuit Of Happiness,Forbidden Fruit,900.0,510.0
278,Various Artists,Recorda Me,470.0,550.0
279,Gregory Isaacs,Lady Of Your Calibre,250.0,920.0
280,The Pharcyde,Italian For Goodbye (skit),310.0,0.0
281,Amy Winehouse,Stronger Than Me,520.0,800.0
282,George Lopez,Only For The Young,980.0,30.0
283,The Cosmosamatics,Serene,410.0,410.0
284,Various Artists,"So Jah Seh - Quadrant, Kid Hops & Iris Remix",920.0,600.0
285,Michael Card,Joy In The Journey - The Final Word Album Version,280.0,290.0
286,Richard Galliano,Chorinho pra ele - Live,650.0,830.0
287,A Static Lullaby,God Bless You (Goddamn it),950.0,190.0
288,Scar Symmetry,The Illusionist,960.0,400.0
289,Sonia Dersion,Urgence,740.0,460.0
290,Eighteen Visions,Our Darkest Days,880.0,290.0
291,Rising Lion,Letting You Back In,680.0,870.0
292,Rodney-O & Joe Cooley,U Don't Hear Me Tho' - Street Mix,890.0,690.0
293,Boots Randolph,Lonely Street,370.0,560.0
294,Jackson United,Undertow,920.0,710.0
295,The Cosmosamatics,12 Seasons of Love,270.0,290.0
296,Bobbie Gentry,Courtyard,120.0,280.0
297,Creedence Clearwater Revived,Have you ever seen the rain,650.0,700.0
298,B.A.D.,Interlude,930.0,750.0
299,Various Artists,Terra,720.0,340.0
300,Circular,Mother,160.0,70.0
301,Fruko Y Sus Tesos,A la Memoria del Muerto,720.0,930.0
302,The Bucketheads,Sayin' Dope,760.0,610.0
303,Various Artists,My Bonnie Lies Over the Ocean,970.0,500.0
304,The Real Kids,Now You Know,920.0,910.0
305,Tha Chamba,Korrupted - Remix,540.0,530.0
306,Shriekback,Reason With The Beast,600.0,330.0
307,John Frizzell,No Unexpected Guests,110.0,40.0
308,J.J. Cale,Trouble In The City,300.0,870.0
309,Precious Bryant,Dark Angel,760.0,710.0
310,Kings of Leon,Knocked Up,690.0,210.0
311,Selena,Ven Conmigo/Perdóname - Live,680.0,670.0
312,Los Originales De San Juan,Librado Maldonado,630.0,870.0
313,Black Flag,Crass Commercialism,340.0,350.0
314,Barbarito Diez,Flores Negras,320.0,700.0
315,Aaron Watson,Rollercoaster Ride,660.0,820.0
316,Mary Black,Turning Away,530.0,370.0
317,Owl City,Panda Bear,600.0,970.0
318,Jane Winther,The Lords Prayer,10.0,60.0
319,Blind Blake,Blake Worried Blues,180.0,650.0
320,Emilio,Mira Nina,500.0,960.0
321,Kasia Stankiewicz,Zolte Slonie,580.0,180.0
322,Turisas,Sahti Waari,880.0,680.0
323,David Hudson,Arrival,300.0,150.0
324,Rummage,Megatrend,760.0,750.0
325,ADR Lavey,In The Name of the Father,790.0,540.0
326,Bill Boyd's Cowboy Ramblers,I Can't Tame Wild Women,340.0,900.0
327,Vickie Winans,Little Timmy,230.0,460.0
328,Justin Lo,Erica,480.0,620.0
329,Antonis Remos,To Agalma - Live,550.0,420.0
330,Percy Faith & His Orchestra,Damisela Encantadora,370.0,210.0
331,Stars Like Fleas,You Are My Memoir,740.0,530.0
332,Gaetano Donizetti,Donizetti: Roberto Devereux: L'ore trascorrono...,140.0,210.0
333,Shakira,Pienso en Ti,30.0,230.0
334,Maysa,This Time I'll Be Sweeter,290.0,100.0
335,Little Freddie King,Bus Station Blues - Live,420.0,510.0
336,Andy Russell,I Love You And You Love Me,640.0,460.0
337,blink-182,A New Hope,940.0,660.0
338,Vickie Winans,To God Be The Glory/Great Is Thy Faithfulness,260.0,130.0
339,John Brown,Party In The Burbs,950.0,700.0
340,Abysmal Dawn,Compulsory Resurrection,980.0,250.0
341,Chaotica,Lobotomy,970.0,660.0
342,Various Artists,Party 'Til the Cows Come Home,810.0,820.0
343,1. Futurologischer Congress,La Excursion,490.0,470.0
344,Asleep At The Wheel,Big Balls in Cow Town,610.0,860.0
345,Siouxsie,Into A Swan,850.0,810.0
346,Claire Hamill,To The Stars,350.0,570.0
347,Alan Silvestri,The Joe's Mobilize,610.0,60.0
348,Sunnyland Slim,I Got To Quit My Baby,430.0,860.0
349,Byther Smith,So Unhappy,490.0,730.0
350,Dusminguet,San Cristobal,780.0,930.0
351,Zeromancer,Ammonite,710.0,260.0
352,Regina Belle,If I Ruled The World,320.0,160.0
353,Two Man Advantage,The Sweep,980.0,490.0
354,Various Artists,I Love You,290.0,840.0
355,Skold,Alkohol,820.0,500.0
356,Wailing Souls,Very Well,520.0,910.0
357,Kitaro,Village Attack/ The Arrest - Heaven And Earth/Soundtrack Version,760.0,340.0
358,Alice In Chains,Lesson Learned,950.0,320.0
359,Bobby Darin,(I Heard That) Lonesome Whistle,300.0,580.0
360,Ini Kamoze,Here Comes the Hotstepper - Heartical Mix,450.0,440.0
361,De La Ghetto,Es Dificil,730.0,410.0
362,Baroness,The Sweetest Curse,940.0,170.0
363,Melt-Banana,Talk Like Pop,830.0,530.0
364,Various Artists,Fuego Caliente - Futuro Mix,890.0,290.0
365,Willie Rosario,Un Tipo Como Yo,820.0,900.0
366,Jude Taylor & His Burning Flames,The Thrill Is Gone,650.0,590.0
367,Placebo,Slave to the Wage,960.0,490.0
368,Metallica,Hit The Lights (Remastered),970.0,290.0
369,Sui Generis,Canción para Mi Muerte,280.0,480.0
370,The Red Telephone,Have You Seen Her,710.0,170.0
371,Bill Douglas,Karuna,60.0,190.0
372,The Radio Dept.,Closing Scene,470.0,630.0
373,Becky Baeling,If You Love Me,780.0,630.0
374,Keb' Mo',Still There For Me,280.0,350.0
375,UKW,Allein,570.0,460.0
376,S. Solis y Orquesta,La Vida En Rosa,220.0,130.0
377,Commander Cody and His Lost Planet Airmen,"Crying Time - Live (1973/Austin, TX)",280.0,490.0
378,Commissioned,You Can Always Come Home,640.0,560.0
379,Dee Clark,Little Bitty Pretty One,630.0,670.0
380,Cauterize,Shooting Stars,920.0,330.0
381,The Laurie Berkner Band,The Cookie Bakers Of The Night,170.0,600.0
382,DJ Slugo,Whip It,930.0,200.0
383,Joi,The Blessing,910.0,310.0
384,Simon & Garfunkel,Citizen of the Planet,470.0,520.0
385,Robben Ford,Something For The Pain,680.0,510.0
386,Joe Lynn Turner,Soul Searcher,680.0,730.0
387,Rickie Lee Jones,Skeletons - Live Acoustic Version,30.0,340.0
388,Hysterie,Imagination - Original Mix,980.0,970.0
389,Aesop Rock,Flashflood,900.0,230.0
390,Shelby Lynne,Old Times Sake,180.0,190.0
391,Tora Tora,Wasted Love,900.0,310.0
392,Franz Ferdinand,Eleanor Put Your Boots On,500.0,150.0
393,Hot Chip,Ass Attack (Four Tet Remix),960.0,250.0
394,Gal Costa,Canta Brasil,540.0,770.0
395,Kathy Mattea,Sally In the Garden,200.0,670.0
396,James Taylor,Steamroller Blues - 2019 Remaster,270.0,550.0
397,Der Moderne Man,Heute,910.0,920.0
398,Various Artists,Sous la Tour Eiffel - Extended Dance Mix,990.0,970.0
399,Tanto Metro & Devonte,Sometimes,450.0,180.0
400,Kelly Clarkson,My Life Would Suck Without You,880.0,420.0
401,Dave Eggar,Wave,20.0,110.0
402,2raumwohnung,Ja - Hanno's Poppersmonstermix,420.0,330.0
403,Ulytau,Winter (Four Seasons),740.0,570.0
404,The Nelons,Hallelujah,410.0,310.0
405,The Exies,Creeper Kamikaze,760.0,290.0
406,Babylon Disco,Error,800.0,60.0
407,Gus Viseur,Fausse monnaie,380.0,850.0
408,Dino,Chariots Of Fire,160.0,50.0
409,GG Allin,I Live To Be Hated,900.0,210.0
410,Spinal Tap,The Majesty Of Rock,950.0,460.0
411,Der Moderne Man,Blaue Matrosen - Live Zürich 19. März 1983,710.0,460.0
412,Buzzcocks,Strange Thing - 2001 Remastered Version,960.0,460.0
413,Stanley Clarke,Journey to Love,350.0,470.0
414,La Portuaria,Alguna Vez,770.0,960.0
415,Hemdale,Rotting Fumes,610.0,220.0
416,Jesse Malin And The St. Marks Social,Revelations,920.0,360.0
417,Ma Rainey,"""Ma"" Rainey's Black Bottom",270.0,730.0
418,Zombie Girl,I Want It,960.0,410.0
419,Daniel Johnston,The Story Of An Artist,370.0,650.0
420,Bone Thugs-N-Harmony,Murder One,670.0,450.0
421,Ultraviolence,"I, Destructor - Lenny Dee Mix",820.0,40.0
422,Utopia,On My Feet Again,860.0,830.0
423,Foxy Brown,If I...,560.0,480.0
424,String Trio Of New York,Ju Ju,180.0,410.0
425,Mastodon,Deep Sea Creature,990.0,220.0
426,Portable,Theresa,310.0,490.0
427,Hank Locklin,Danny Boy,220.0,390.0
428,Lili Ivanova,Pak shte te obicham,870.0,900.0
429,Wailing Souls,Old Broom,370.0,860.0
430,Furry Lewis,Good Looking Girl Blues,200.0,380.0
431,Jo-El Sonnier,Cajun Blood,530.0,240.0
432,Murskahumppa,Poikamies - 2009,860.0,510.0
433,Vanessa Bell Armstrong,Til The Victory's Won,640.0,170.0
434,Radiohead,Subterranean Homesick Alien,590.0,320.0
435,Dave Hollister,Tell Me Why,550.0,280.0
436,Seamus Egan,Lullaby,70.0,230.0
437,Angelo Badalamenti,The Voice of Love,250.0,30.0
438,C.C. Adcock,Good Loving,920.0,830.0
439,DMX,Damien,730.0,440.0
440,James Horner,The President's Speech - Instrumental,10.0,30.0
441,Kitaro,Trong Com - Heaven And Earth/Soundtrack Version,140.0,640.0
442,C-Side & Petit Mal,Mudhump,770.0,350.0
443,Don Gibson,(I'd Be) A Legend in My Time,300.0,350.0
444,Jewel,Serve The Ego - Hani Num Dub,940.0,610.0
445,Nick Cave & The Bad Seeds,Still In Love,300.0,60.0
446,Bury Your Dead,Closed Eyes,650.0,240.0
447,Our Time Down Here,Big Guys Throw Cones,980.0,780.0
448,Bersuit Vergarabat,Sencillamente,620.0,960.0
449,G-Unit,Poppin' Them Thangs,810.0,920.0
450,Saosin,Bury Your Head,930.0,360.0
451,John Williams,American Journey: IV. Arts and Sports,370.0,380.0
452,Pardesi,Shuncata Penda,870.0,940.0
453,DJ Ostkurve,Sailing - DJ Ostkurve Party Mix,970.0,650.0
454,Roy Rogers,Hi Ho Silver,190.0,750.0
455,Reni,Slamka spasa,890.0,860.0
456,Leonard Kwan,Kanaka 'o Mose,140.0,380.0
457,Steve Riley & The Mamou Playboys,Between Eunice & Opelousas,1000.0,980.0
458,Falco,Monarchy Now,920.0,680.0
459,Warren Barfield,Shadow,760.0,770.0
460,Dilated Peoples,Big Business,850.0,700.0
461,Orquesta Broadway,La Sitiera,430.0,670.0
462,David Martin,It Must Be,500.0,210.0
463,Floor,Ignis,910.0,540.0
464,Walter Jackson,What Would You Do,280.0,460.0
465,Justin Lo,Kong,340.0,340.0
466,Tim Exile's Nuisance Gabbaret Lounge,Post-Toxic Finger Disorder,1000.0,420.0
467,Bizzy Bone,Intro,460.0,960.0
468,George Lopez,Church Hangover,800.0,90.0
469,Speedball,No Survivors,880.0,660.0
470,Johnny Cash,"I Got Stripes - Live at Folsom State Prison, Folsom, CA (2nd Show) - January 1968",460.0,610.0
471,Rui Da Silva,The Contracting Perception Of Consciousness,520.0,760.0
472,Autumnblaze,Her Golden Robe in Silence Veiled,600.0,450.0
473,Hatesex,The Greed of Our Stare,670.0,350.0
474,Kris Kristofferson,Same Old Song,320.0,640.0
475,Christina Aguilera,Walk Away,420.0,120.0
476,Maurane,Mais La Vie,260.0,320.0
477,Rita Chiarelli,Doggin' Around,340.0,360.0
478,Various Artists,Talk Dem a Talk,910.0,820.0
479,Goatwhore,Forever Consumed Oblivion,1000.0,60.0
480,Superchumbo,Irresistible! - Maurel & Fauvrelle LESS Mix,970.0,640.0
481,We Show Up On Radar,Red Balloon,400.0,60.0
482,Gabinete Caligari,El Arte De Amar,850.0,640.0
483,Sumo,Pinini Reggae,640.0,960.0
484,Hank Locklin,Rio Grande Waltz,340.0,660.0
485,Tanto Metro & Devonte,Honey I Sugar Pie,640.0,730.0
486,Basic Channel,Phylyps Trak Ii/Ii,710.0,150.0
487,Tammy Wynette,Stand By Your Man,250.0,520.0
488,Terry Riley,Acension Final Chord Rising,30.0,30.0
489,Mack and Jamie,Slimy Little Troll,260.0,770.0
490,Ensiferum,Hero In A Dream,970.0,650.0
491,Martin Sexton,Ice Cream Man,660.0,420.0
